r3000,r5000,noxevent,r2000,coevent,system_time,gps_time,latitude,longitude
21,29,111,28,3,2018-03-06 14:28:56.442551,14:28:56,52.56502716666667,13.409469666666666
21,29,111,28,3,2018-03-06 14:28:57.455827,14:28:57,52.5650275,13.409471166666666
21,29,111,28,3,2018-03-06 14:28:58.469803,14:28:58,52.56502783333333,13.409471666666667
21,29,111,28,3,2018-03-06 14:28:59.493034,14:28:59,52.56502733333333,13.409472
21,29,111,28,3,2018-03-06 14:29:00.521072,14:29:00,52.56502716666667,13.409472666666666
21,29,111,28,3,2018-03-06 14:29:01.570476,14:29:01,52.56502716666667,13.4094735
21,29,111,28,3,2018-03-06 14:29:02.657170,14:29:02,52.565026833333334,13.409473666666667
21,29,111,28,3,2018-03-06 14:29:03.726243,14:29:03,52.56502616666667,13.409474333333334
21,29,111,28,3,2018-03-06 14:29:04.779428,14:29:04,52.565025166666665,13.409473833333333
21,29,111,28,3,2018-03-06 14:29:05.801727,14:29:05,52.5650245,13.409473
21,29,111,28,3,2018-03-06 14:29:06.823308,14:29:06,52.56502416666667,13.409472666666666
21,29,111,28,3,2018-03-06 14:29:07.939458,14:29:07,52.565023833333335,13.4094725
21,29,111,28,3,2018-03-06 14:29:09.391245,14:29:09,52.565024,13.409471833333333
21,29,111,28,3,2018-03-06 14:29:10.465083,14:29:10,52.56502416666667,13.409472666666666
21,29,111,28,3,2018-03-06 14:29:11.507265,14:29:11,52.5650235,13.409471666666667
21,29,111,28,3,2018-03-06 14:29:12.522487,14:29:12,52.56502316666667,13.409471333333334
21,29,111,28,3,2018-03-06 14:29:13.538528,14:29:13,52.56502316666667,13.4094695
21,29,111,28,3,2018-03-06 14:29:14.555120,14:29:14,52.565022666666664,13.409468
21,29,111,28,3,2018-03-06 14:29:15.571799,14:29:15,52.5650225,13.409466333333333
21,29,111,28,3,2018-03-06 14:29:16.591964,14:29:16,52.565022166666665,13.409466666666667
21,29,111,28,3,2018-03-06 14:29:17.613108,14:29:17,52.56502166666667,13.4094665
21,29,111,28,3,2018-03-06 14:29:18.630305,14:29:18,52.565021333333334,13.409465833333334
21,29,111,28,3,2018-03-06 14:29:19.655326,14:29:19,52.56502116666667,13.409464166666666
21,29,111,28,3,2018-03-06 14:29:20.672735,14:29:20,52.5650205,13.409462833333333
21,29,111,28,3,2018-03-06 14:29:21.698888,14:29:21,52.56502,13.4094605
21,29,111,28,3,2018-03-06 14:29:22.718489,14:29:22,52.565019166666666,13.4094585
21,29,111,28,3,2018-03-06 14:29:23.738817,14:29:23,52.5650195,13.409455333333334
21,29,111,28,3,2018-03-06 14:29:24.761338,14:29:24,52.56501983333333,13.409453
21,29,111,28,3,2018-03-06 14:29:25.779620,14:29:25,52.56502016666666,13.409449666666667
21,29,111,28,3,2018-03-06 14:29:26.808528,14:29:26,52.56502116666667,13.409446333333333
